Data;Unidade;Favela;Localidade;Zona
30/06/15;42° UPP;Vila do João/Vila dos Pinheiros;Complexo da Maré;Norte
30/06/15;41° UPP;Baixa do Sapateiro/Timbau;Complexo da Maré;Norte
01/05/15;40° UPP;Parque União/ Nova Holanda;Complexo da Maré;Norte
01/04/15;39° UPP;Praia de Ramos / Roquette Pinto;Ramos;Norte
15/05/14;38° UPP;Vila Kennedy;Bangu;Oeste
07/02/14;37° UPP;Mangueirinha;Duque de Caxias;Baixada Fluminense
02/12/13;36° UPP;Camarista Méier/Morro do Céu;Engenho de Dentro;Norte
02/12/13;35° UPP;Complexo do Lins;Lins de Vasconcelos;Norte
06/09/13;34° UPP;Parque Arará/Mandela;Benfica;Norte
03/06/13;33° UPP;Morro Cerro-Corá / Guararapes;Cosme Velho;Sul
12/04/13;32° UPP;Barreira do Vasco;São Cristóvão;Centro
12/04/13;31° UPP;Complexo do Caju;Caju;Norte
16/01/13;30° UPP;Jacarezinho/Rato Molhado;Jacaré;Norte
16/01/13;29° UPP;Favela de Manguinhos;Manguinhos;Norte
20/09/12;28° UPP;Rocinha;São Conrado;Sul
28/08/12;27° UPP;Vila Cruzeiro;Penha;Norte
28/08/12;26° UPP;Parque Proletário;Penha;Norte
27/06/12;25° UPP;Morro da Chatuba / Caixa D'Água;Penha;Norte
27/06/12;24° UPP;Morro do Sereno / da Fé;Penha;Norte
30/05/12;23° UPP;Morro do Alemão / Pedra do Sapo;Complexo do Alemão;Norte
11/05/12;22° UPP;Morro do Adeus / da Baiana;Bonsucesso, Ramos;Norte
18/04/12;21° UPP;Nova Brasília;Complexo do Alemão;Norte
18/04/12;20° UPP;Fazendinha;Complexo do Alemão;Norte
18/01/12;19° UPP;Vidigal / Chácara do Céu;Leblon;Sul
03/11/11;18° UPP;Morro da Mangueira / Morro do Tuiuti;São Cristóvão;Norte
17/05/11;17° UPP;Complexo do São Carlos;Estácio;Centro
25/02/11;16° UPP;Morro dos Prazeres / Escondidinho;Santa Teresa;Centro
25/02/11;15° UPP;Morro da Coroa/Fallet/Fogueteiro;Catumbi;Centro
28/01/11;14° UPP;Morro São João/Matriz/Quieto;Engenho Novo;Norte
30/11/10;13° UPP;Morro dos Macacos;Vila Isabel;Norte
30/09/10;12° UPP;Morro do Turano;Tijuca, Rio Comprido;Norte
17/09/10;11° UPP[1];Morro do Salgueiro;Tijuca;Norte
28/07/10;10° UPP;Morro do Andaraí;Andaraí;Norte
01/07/10;9° UPP;Morro da Formiga;Tijuca;Norte
07/06/10;8° UPP;Morro do Borel;Tijuca;Norte
25/04/10;7° UPP;Morro da Providência;Entre Santo Cristo e Gamboa;Centro
14/01/10;6° UPP;Ladeira dos Tabajaras / Morro dos Cabritos;Copacabana;Sul
23/12/09;5° UPP;Cantagalo-Pavão-Pavãozinho;Copacabana, Ipanema;Sul
10/06/09;4° UPP;Morro da Babilônia / Chapéu Mangueira;Leme;Sul
18/02/09;3° UPP;Jardim Batan / Favela do Fumacê (Pacificada em setembro de 2012);Realengo;Oeste
16/02/09;2° UPP;Cidade de Deus;Cidade de Deus;Oeste
28/11/08;1ª UPP;Favela Santa Marta;Botafogo;Sul
